Date,Team1,Team1_Runs,Team2,Team2_Runs
"Thursday, March 28, 2024",Colorado Rockies,1,Arizona D'Backs,16
"Thursday, March 28, 2024",Los Angeles Angels,3,Baltimore Orioles,11
"Thursday, March 28, 2024",Detroit Tigers,1,Chicago White Sox,0
"Thursday, March 28, 2024",Washington Nationals,2,Cincinnati Reds,8
"Thursday, March 28, 2024",New York Yankees,5,Houston Astros,4
"Thursday, March 28, 2024",Minnesota Twins,4,Kansas City Royals,1
"Thursday, March 28, 2024",St. Louis Cardinals,1,Los Angeles Dodgers,7
"Thursday, March 28, 2024",Pittsburgh Pirates,6,Miami Marlins,5
"Thursday, March 28, 2024",Cleveland Guardians,8,Oakland Athletics,0
"Thursday, March 28, 2024",San Francisco Giants,4,San Diego Padres,6
"Thursday, March 28, 2024",Boston Red Sox,6,Seattle Mariners,4
"Thursday, March 28, 2024",Toronto Blue Jays,8,Tampa Bay Rays,2
"Thursday, March 28, 2024",Chicago Cubs,3,Texas Rangers,4
"Friday, March 29, 2024",Colorado Rockies,3,Arizona D'Backs,7
"Friday, March 29, 2024",New York Yankees,7,Houston Astros,1
"Friday, March 29, 2024",St. Louis Cardinals,3,Los Angeles Dodgers,6
"Friday, March 29, 2024",Pittsburgh Pirates,7,Miami Marlins,2
"Friday, March 29, 2024",Milwaukee Brewers,3,New York Mets,1
"Friday, March 29, 2024",Cleveland Guardians,6,Oakland Athletics,4
"Friday, March 29, 2024",Atlanta Braves,9,Philadelphia Phillies,3
"Friday, March 29, 2024",San Francisco Giants,8,San Diego Padres,3
"Friday, March 29, 2024",Boston Red Sox,0,Seattle Mariners,1
"Friday, March 29, 2024",Toronto Blue Jays,2,Tampa Bay Rays,8
"Saturday, March 30, 2024",Colorado Rockies,9,Arizona D'Backs,4
"Saturday, March 30, 2024",Los Angeles Angels,4,Baltimore Orioles,13
"Saturday, March 30, 2024",Detroit Tigers,7,Chicago White Sox,6
"Saturday, March 30, 2024",Washington Nationals,7,Cincinnati Reds,6
"Saturday, March 30, 2024",New York Yankees,5,Houston Astros,3
"Saturday, March 30, 2024",Minnesota Twins,5,Kansas City Royals,1
"Saturday, March 30, 2024",St. Louis Cardinals,6,Los Angeles Dodgers,5
"Saturday, March 30, 2024",Pittsburgh Pirates,9,Miami Marlins,3
"Saturday, March 30, 2024",Milwaukee Brewers,7,New York Mets,6
"Saturday, March 30, 2024",Cleveland Guardians,12,Oakland Athletics,3
"Saturday, March 30, 2024",Atlanta Braves,12,Philadelphia Phillies,4
"Saturday, March 30, 2024",San Francisco Giants,9,San Diego Padres,6
"Saturday, March 30, 2024",Boston Red Sox,3,Seattle Mariners,4
"Saturday, March 30, 2024",Toronto Blue Jays,1,Tampa Bay Rays,5
"Saturday, March 30, 2024",Chicago Cubs,2,Texas Rangers,11
"Sunday, March 31, 2024",Colorado Rockies,1,Arizona D'Backs,5
"Sunday, March 31, 2024",Los Angeles Angels,4,Baltimore Orioles,1
"Sunday, March 31, 2024",Detroit Tigers,3,Chicago White Sox,2
"Sunday, March 31, 2024",Washington Nationals,5,Cincinnati Reds,6
"Sunday, March 31, 2024",New York Yankees,4,Houston Astros,3
"Sunday, March 31, 2024",Minnesota Twins,0,Kansas City Royals,11
"Sunday, March 31, 2024",St. Louis Cardinals,4,Los Angeles Dodgers,5
"Sunday, March 31, 2024",Pittsburgh Pirates,9,Miami Marlins,7
"Sunday, March 31, 2024",Milwaukee Brewers,4,New York Mets,1
"Sunday, March 31, 2024",Cleveland Guardians,3,Oakland Athletics,4
"Sunday, March 31, 2024",Atlanta Braves,4,Philadelphia Phillies,5
"Sunday, March 31, 2024",San Francisco Giants,4,San Diego Padres,13
"Sunday, March 31, 2024",Boston Red Sox,5,Seattle Mariners,1
"Sunday, March 31, 2024",Toronto Blue Jays,9,Tampa Bay Rays,2
"Sunday, March 31, 2024",Chicago Cubs,9,Texas Rangers,5
"Monday, April 1, 2024",New York Yankees,5,Arizona D'Backs,2
"Monday, April 1, 2024",Kansas City Royals,4,Baltimore Orioles,6
"Monday, April 1, 2024",Atlanta Braves,9,Chicago White Sox,0
"Monday, April 1, 2024",Colorado Rockies,0,Chicago Cubs,5
"Monday, April 1, 2024",Toronto Blue Jays,0,Houston Astros,10
"Monday, April 1, 2024",San Francisco Giants,3,Los Angeles Dodgers,8
"Monday, April 1, 2024",Los Angeles Angels,7,Miami Marlins,4
"Monday, April 1, 2024",Detroit Tigers,5,New York Mets,0
"Monday, April 1, 2024",Boston Red Sox,9,Oakland Athletics,0
"Monday, April 1, 2024",Cincinnati Reds,6,Philadelphia Phillies,3
"Monday, April 1, 2024",St. Louis Cardinals,6,San Diego Padres,2
"Monday, April 1, 2024",Cleveland Guardians,4,Seattle Mariners,5
"Monday, April 1, 2024",Texas Rangers,9,Tampa Bay Rays,3
"Monday, April 1, 2024",Pittsburgh Pirates,8,Washington Nationals,4
"Tuesday, April 2, 2024",New York Yankees,0,Arizona D'Backs,7
"Tuesday, April 2, 2024",Kansas City Royals,4,Baltimore Orioles,1
"Tuesday, April 2, 2024",Atlanta Braves,2,Chicago White Sox,3
"Tuesday, April 2, 2024",Colorado Rockies,2,Chicago Cubs,12
"Tuesday, April 2, 2024",Toronto Blue Jays,2,Houston Astros,1
"Tuesday, April 2, 2024",San Francisco Giants,4,Los Angeles Dodgers,5
"Tuesday, April 2, 2024",Los Angeles Angels,3,Miami Marlins,1
"Tuesday, April 2, 2024",Minnesota Twins,2,Milwaukee Brewers,3
"Tuesday, April 2, 2024",Boston Red Sox,5,Oakland Athletics,4
"Tuesday, April 2, 2024",Cincinnati Reds,4,Philadelphia Phillies,9
"Tuesday, April 2, 2024",St. Louis Cardinals,5,San Diego Padres,2
"Tuesday, April 2, 2024",Cleveland Guardians,5,Seattle Mariners,2
"Tuesday, April 2, 2024",Texas Rangers,2,Tampa Bay Rays,5
"Wednesday, April 3, 2024",New York Yankees,6,Arizona D'Backs,5
"Wednesday, April 3, 2024",Kansas City Royals,3,Baltimore Orioles,4
"Wednesday, April 3, 2024",Colorado Rockies,8,Chicago Cubs,9
"Wednesday, April 3, 2024",Toronto Blue Jays,0,Houston Astros,8
"Wednesday, April 3, 2024",San Francisco Giants,4,Los Angeles Dodgers,5
"Wednesday, April 3, 2024",Los Angeles Angels,10,Miami Marlins,2
"Wednesday, April 3, 2024",Minnesota Twins,7,Milwaukee Brewers,3
"Wednesday, April 3, 2024",Boston Red Sox,1,Oakland Athletics,0
"Wednesday, April 3, 2024",Cincinnati Reds,4,Philadelphia Phillies,1
"Wednesday, April 3, 2024",St. Louis Cardinals,2,San Diego Padres,3
"Wednesday, April 3, 2024",Cleveland Guardians,8,Seattle Mariners,0
"Wednesday, April 3, 2024",Texas Rangers,4,Tampa Bay Rays,1
"Wednesday, April 3, 2024",Pittsburgh Pirates,3,Washington Nationals,5
"Thursday, April 4, 2024",Chicago White Sox,1,Kansas City Royals,10
"Thursday, April 4, 2024",Cleveland Guardians,4,Minnesota Twins,2
"Thursday, April 4, 2024",Detroit Tigers,6,New York Mets,3
"Thursday, April 4, 2024",Detroit Tigers,1,New York Mets,2
"Thursday, April 4, 2024",Miami Marlins,5,St. Louis Cardinals,8
"Thursday, April 4, 2024",Pittsburgh Pirates,7,Washington Nationals,4
"Friday, April 5, 2024",Boston Red Sox,8,Los Angeles Angels,6
"Friday, April 5, 2024",Arizona D'Backs,5,Atlanta Braves,6
"Friday, April 5, 2024",Los Angeles Dodgers,7,Chicago Cubs,9
"Friday, April 5, 2024",New York Mets,3,Cincinnati Reds,2
"Friday, April 5, 2024",Tampa Bay Rays,7,Colorado Rockies,10
"Friday, April 5, 2024",Oakland Athletics,4,Detroit Tigers,5
